Energiequelle;Leistung in kW
gas;600
gas;600
gas;600
gas;440
gas;440
gas;440
gas;600
gas;10
gas;2
gas;2
gas;420
gas;600
gas;600
gas;1
gas;600
gas;600
gas;600
gas;2
gas;2
gas;800
gas;600
gas;2
gas;600
