Energiequelle;Leistung in kW
biogas;600
biogas;250
biogas;901
biogas;889
biogas;330
biogas;600
biogas;250
biogas;700
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;600
biogas;0.55
biogas;600
